,playerID,yearID,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,BA
99992,bogusbr01,2015,PHI,NL,22,58,9,15,3,0,2,5.0,2.0,0.0,3,21.0,0.0,0.0,0.0,0.0,1.0,0.259
99993,bolsimi01,2015,LAN,NL,21,38,1,1,1,0,0,0.0,0.0,0.0,0,23.0,0.0,0.0,2.0,0.0,0.0,0.026
99994,bonifem01,2015,CHA,AL,47,78,5,13,2,0,0,4.0,1.0,4.0,2,27.0,0.0,1.0,1.0,0.0,1.0,0.167
99995,bourgja01,2015,CIN,NL,68,196,28,47,5,2,3,14.0,3.0,1.0,14,33.0,0.0,1.0,1.0,0.0,2.0,0.24
99996,bourjpe01,2015,SLN,NL,117,195,32,39,8,3,4,13.0,5.0,8.0,19,59.0,4.0,6.0,4.0,1.0,2.0,0.2
99997,bourju01,2015,MIA,NL,129,409,42,107,20,0,23,73.0,0.0,0.0,34,101.0,3.0,2.0,0.0,1.0,19.0,0.262
99998,bournmi01,2015,CLE,AL,95,289,29,71,12,1,0,19.0,13.0,5.0,29,76.0,0.0,0.0,7.0,1.0,2.0,0.246
99999,bournmi01,2015,ATL,NL,46,136,10,30,3,1,0,11.0,4.0,2.0,17,31.0,0.0,0.0,1.0,2.0,3.0,0.221
100000,boxbebr01,2015,TBA,AL,69,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100001,boydma01,2015,TOR,AL,2,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100002,boydma01,2015,DET,AL,11,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100003,boyerbl01,2015,MIN,AL,68,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100004,brachbr01,2015,BAL,AL,62,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100005,brachsi01,2015,ARI,NL,13,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100006,bradlar01,2015,ARI,NL,8,14,0,2,0,0,0,0.0,0.0,1.0,0,7.0,0.0,0.0,0.0,0.0,0.0,0.143
100007,bradlja02,2015,BOS,AL,74,221,43,55,17,4,10,43.0,3.0,0.0,27,69.0,0.0,3.0,1.0,3.0,5.0,0.249
100008,brantmi02,2015,CLE,AL,137,529,68,164,45,0,15,84.0,15.0,1.0,60,51.0,8.0,2.0,0.0,5.0,14.0,0.31
100009,brantro01,2015,CHA,AL,14,33,3,4,1,0,1,6.0,0.0,0.0,2,8.0,0.0,0.0,0.0,1.0,1.0,0.121
100010,braunry02,2015,MIL,NL,140,506,87,144,27,3,25,84.0,24.0,4.0,54,115.0,4.0,4.0,0.0,3.0,20.0,0.285
100011,breslcr01,2015,BOS,AL,45,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100012,brettry01,2015,TBA,AL,3,3,0,2,1,0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.667
100013,brighja01,2015,ATL,NL,12,1,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
100014,brignre01,2015,MIA,NL,17,13,2,1,0,0,0,0.0,0.0,0.0,3,5.0,0.0,0.0,1.0,0.0,0.0,0.077
100015,britoso01,2015,ARI,NL,18,33,5,10,3,1,0,1.0,1.0,0.0,1,7.0,0.0,0.0,0.0,0.0,0.0,0.303
100016,brittza01,2015,BAL,AL,64,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100017,broadmi01,2015,SFN,NL,21,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100018,brookaa01,2015,KCA,AL,2,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100019,brookaa01,2015,OAK,AL,11,2,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100020,brothre01,2015,COL,NL,17,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100021,brownbr02,2015,COL,NL,36,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100022,browndo01,2015,PHI,NL,63,189,19,43,6,1,5,25.0,3.0,1.0,14,36.0,0.0,1.0,0.0,0.0,2.0,0.228
100023,browntr01,2015,SFN,NL,13,39,1,9,3,0,0,5.0,1.0,1.0,3,8.0,0.0,0.0,0.0,1.0,0.0,0.231
100024,broxtjo01,2015,MIL,NL,40,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100025,broxtjo01,2015,SLN,NL,26,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100026,broxtke01,2015,PIT,NL,7,2,3,0,0,0,0,0.0,1.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
100027,bruceja01,2015,CIN,NL,157,580,72,131,35,4,26,87.0,9.0,5.0,58,145.0,8.0,2.0,0.0,9.0,10.0,0.226
100028,bryankr01,2015,CHN,NL,151,559,87,154,31,5,26,99.0,13.0,4.0,77,199.0,0.0,9.0,0.0,5.0,7.0,0.275
100029,buchada01,2015,PHI,NL,15,20,2,4,1,0,0,1.0,0.0,0.0,2,8.0,0.0,0.0,1.0,0.0,0.0,0.2
100030,buchaja01,2015,HOU,AL,5,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100031,buchhcl01,2015,BOS,AL,18,6,0,0,0,0,0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
100032,buehrma01,2015,TOR,AL,32,7,0,1,0,0,0,0.0,0.0,0.0,1,3.0,0.0,0.0,1.0,0.0,0.0,0.143
100033,bumgama01,2015,SFN,NL,36,77,9,19,2,0,5,9.0,0.0,0.0,3,27.0,0.0,0.0,1.0,0.0,1.0,0.247
100034,burawda01,2015,NYA,AL,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100035,burawda01,2015,ATL,NL,12,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100036,burgoen02,2015,ARI,NL,30,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100037,burneaj01,2015,PIT,NL,26,42,1,5,0,0,1,5.0,0.0,0.0,0,20.0,0.0,0.0,9.0,1.0,1.0,0.119
100038,burnsbi02,2015,OAK,AL,125,520,70,153,18,9,5,42.0,26.0,8.0,26,81.0,1.0,6.0,1.0,2.0,5.0,0.294
100039,burriem01,2015,WAS,NL,5,3,2,2,0,0,0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.667
100040,buterdr01,2015,LAA,AL,10,21,3,4,0,0,0,0.0,0.0,1.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.19
100041,buterdr01,2015,KCA,AL,45,86,6,17,3,0,1,5.0,0.0,0.0,6,24.0,0.0,2.0,5.0,0.0,0.0,0.198
100042,butlebi03,2015,OAK,AL,151,538,63,135,28,1,15,65.0,0.0,0.0,52,101.0,4.0,7.0,0.0,4.0,26.0,0.251
100043,butleed01,2015,COL,NL,16,23,0,1,0,0,0,0.0,0.0,0.0,0,13.0,0.0,0.0,1.0,0.0,0.0,0.043
100044,butlejo04,2015,TBA,AL,88,257,30,71,12,0,8,30.0,5.0,2.0,16,82.0,0.0,3.0,0.0,0.0,16.0,0.276
