,name,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP,SLG,OPS
310,Kyle Seager,288.0,1.0,72.0,0.0,0.0,0.0,72.0,0.0,72.0,0.238,0.307,0.438,0.745
311,Jean Segura,284.0,71.0,71.0,0.0,0.0,0.0,1.0,0.0,71.0,0.302,0.345,0.44,0.785
312,Marcus Semien,324.0,81.0,81.0,0.0,0.0,0.0,81.0,4.0,81.0,0.263,0.334,0.433,0.766
313,Nick Senzel,76.0,16.0,25.0,0.0,0.0,0.0,0.0,0.0,24.0,0.254,0.328,0.434,0.762
314,Pedro Severino,150.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.252,0.329,0.391,0.72
315,Travis Shaw,168.0,0.0,56.0,0.0,0.0,0.0,0.0,1.0,56.0,0.227,0.32,0.411,0.731
316,Magneuris Sierra,64.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,0.221,0.276,0.263,0.539
317,Andrelton Simmons,247.0,4.0,62.0,0.0,0.0,0.0,0.0,0.0,2.0,0.283,0.335,0.383,0.717
318,Austin Slater,135.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,46.0,0.265,0.37,0.448,0.818
319,Dominic Smith,153.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,51.0,0.286,0.357,0.47,0.827
320,Pavin Smith,96.0,23.0,25.0,0.0,0.0,0.0,0.0,0.0,24.0,0.274,0.321,0.424,0.745
321,Will Smith,102.0,34.0,34.0,0.0,0.0,0.0,33.0,1.0,34.0,0.265,0.376,0.549,0.926
322,Nick Solak,132.0,0.0,33.0,0.0,0.0,0.0,1.0,0.0,32.0,0.263,0.345,0.397,0.742
323,Donovan Solano,108.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,35.0,0.304,0.343,0.417,0.759
324,Jorge Soler,251.0,0.0,63.0,0.0,0.0,0.0,62.0,0.0,63.0,0.241,0.331,0.461,0.792
325,Edmundo Sosa,57.0,0.0,19.0,0.0,0.0,0.0,1.0,0.0,19.0,0.295,0.367,0.415,0.782
326,Juan Soto,280.0,70.0,70.0,0.0,0.0,0.0,70.0,70.0,70.0,0.298,0.411,0.529,0.94
327,George Springer,236.0,59.0,59.0,0.0,0.0,0.0,59.0,58.0,59.0,0.254,0.347,0.488,0.835
328,Jacob Stallings,108.0,0.0,36.0,0.0,0.0,0.0,1.0,0.0,36.0,0.251,0.34,0.384,0.723
329,Giancarlo Stanton,204.0,51.0,51.0,0.0,0.0,0.0,50.0,50.0,51.0,0.265,0.353,0.501,0.854
330,Max Stassi,117.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,39.0,0.263,0.341,0.469,0.81
331,Tyler Stephenson,63.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,21.0,0.298,0.38,0.446,0.825
332,Andrew Stevenson,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.254,0.332,0.34,0.672
333,Trevor Story,304.0,76.0,76.0,0.0,0.0,0.0,76.0,0.0,76.0,0.271,0.343,0.509,0.851
334,Myles Straw,117.0,1.0,39.0,0.0,0.0,0.0,0.0,0.0,39.0,0.24,0.317,0.296,0.614
335,Eugenio Suarez,303.0,76.0,76.0,0.0,0.0,0.0,76.0,0.0,76.0,0.233,0.331,0.479,0.809
336,Kurt Suzuki,135.0,1.0,45.0,0.0,0.0,0.0,43.0,0.0,1.0,0.254,0.32,0.411,0.731
337,Dansby Swanson,292.0,70.0,73.0,0.0,0.0,0.0,1.0,0.0,73.0,0.259,0.32,0.455,0.775
338,Raimel Tapia,171.0,9.0,53.0,0.0,0.0,0.0,1.0,0.0,53.0,0.275,0.327,0.413,0.74
339,Chris Taylor,219.0,72.0,73.0,0.0,0.0,0.0,0.0,0.0,73.0,0.246,0.34,0.424,0.765
340,Michael Taylor,262.0,0.0,83.0,0.0,0.0,0.0,8.0,0.0,86.0,0.244,0.301,0.355,0.656
341,Tyrone Taylor,40.0,0.0,20.0,0.0,0.0,0.0,1.0,0.0,19.0,0.258,0.346,0.496,0.842
