,name,W,L,ERA,IP,H,ER,HR,BB,SO,WHIP
138,Zack Greinke,0.0,0.0,3.753,104.8,86.0,35.0,17.0,17.0,100.0,1.09
139,Robert Gsellman,0.0,0.0,2.955,25.1,22.0,22.0,0.0,7.0,24.0,1.24
140,Junior Guerra,0.0,0.0,3.734,39.5,29.0,26.0,0.0,26.0,52.0,1.21
141,Jandel Gustave,0.0,0.0,0.972,6.1,5.0,1.0,0.0,1.0,6.0,0.88
142,Vladimir Gutierrez,1.0,5.0,4.695,18.3,22.0,11.0,4.0,3.0,16.0,1.42
143,Josh Hader,0.0,0.0,1.491,33.8,30.0,0.0,0.0,3.0,60.0,0.7
144,Brad Hand,0.0,0.0,2.538,29.7,33.0,0.0,0.0,0.0,33.0,1.07
145,J.A. Happ,0.0,2.0,5.966,96.1,108.0,55.0,20.0,31.0,71.0,1.48
146,Ryne Harper,0.0,0.0,2.521,14.5,19.0,1.0,0.0,0.0,18.0,1.04
147,Matt Harvey,1.0,0.0,6.867,49.8,59.0,35.0,11.0,13.0,38.0,1.65
148,Taylor Hearn,0.0,0.0,4.796,14.3,11.0,9.0,0.0,10.0,18.0,1.62
149,Ryan Helsley,0.0,0.0,5.614,10.9,14.0,13.0,0.0,14.0,14.0,1.65
150,Heath Hembree,0.0,0.0,4.326,21.7,30.0,29.0,0.0,0.0,30.0,1.15
151,Kyle Hendricks,0.0,0.0,3.847,101.6,102.0,35.0,17.0,17.0,85.0,1.25
152,Liam Hendriks,0.0,0.0,2.724,28.7,29.0,0.0,0.0,0.0,58.0,1.08
153,Sam Hentges,0.0,0.0,6.746,12.3,19.0,9.0,1.0,7.0,14.0,1.94
154,Darwinzon Hernandez,0.0,0.0,3.23,9.9,13.0,0.0,0.0,13.0,13.0,1.7
155,Elieser Hernandez,0.0,0.0,4.705,29.8,33.0,21.0,11.0,11.0,32.0,1.34
156,Codi Heuer,0.0,0.0,4.208,11.6,12.0,0.0,0.0,0.0,13.0,1.35
157,Rich Hill,0.0,0.0,4.463,59.8,49.0,26.0,12.0,25.0,61.0,1.23
158,Tim Hill,0.0,0.0,3.48,19.8,33.0,0.0,0.0,0.0,33.0,1.26
159,Jeff Hoffman,0.0,0.0,6.175,20.1,29.0,18.0,0.0,11.0,20.0,1.61
160,Derek Holland,0.0,0.0,6.904,42.0,39.0,21.0,0.0,21.0,40.0,1.61
161,Greg Holland,0.0,0.0,3.976,22.4,28.0,0.0,0.0,0.0,28.0,1.57
162,Clay Holmes,0.0,0.0,5.564,20.1,19.0,18.0,0.0,18.0,19.0,1.45
163,Tanner Houck,-1.0,2.0,4.272,11.4,13.0,6.0,2.0,3.0,14.0,1.4
164,Adrian Houser,0.0,1.0,4.006,53.7,55.0,26.0,11.0,19.0,47.0,1.39
165,Spencer Howard,-1.0,0.0,6.24,7.8,10.0,9.0,2.0,6.0,10.0,1.47
166,Daniel Hudson,0.0,0.0,4.301,27.5,27.0,1.0,0.0,0.0,28.0,1.17
167,Drew Hutchison,0.0,0.0,4.8,9.0,10.0,8.0,2.0,6.0,7.0,1.36
168,Raisel Iglesias,0.0,0.0,3.865,33.5,34.0,0.0,0.0,0.0,34.0,1.17
169,Cole Irvin,1.0,1.0,4.504,35.3,39.0,17.0,2.0,8.0,26.0,1.24
170,Jay Jackson,0.0,0.0,4.127,6.6,8.0,0.0,0.0,8.0,14.0,1.12
171,Luke Jackson,0.0,0.0,3.317,29.4,30.0,0.0,0.0,0.0,30.0,1.42
172,Kenley Jansen,0.0,0.0,2.335,34.2,35.0,0.0,0.0,0.0,35.0,0.95
173,Cristian Javier,0.0,0.0,2.869,16.4,11.0,6.0,0.0,8.0,24.0,1.03
174,Daulton Jefferies,0.0,0.0,4.62,1.9,2.0,1.0,0.0,1.0,1.0,1.03
175,Joe Jimenez,0.0,0.0,6.236,25.7,32.0,30.0,0.0,0.0,32.0,1.51
176,Pierce Johnson,0.0,0.0,3.543,16.5,19.0,0.0,0.0,0.0,19.0,1.19
177,James Kaprielian,2.0,1.0,3.118,20.6,19.0,10.0,3.0,9.0,21.0,1.19
178,James Karinchak,0.0,0.0,1.864,12.9,1.0,0.0,0.0,14.0,26.0,0.93
179,Keone Kela,0.0,0.0,3.43,14.4,16.0,0.0,0.0,0.0,16.0,1.15
180,Brad Keller,0.0,1.0,4.688,92.4,90.0,41.0,2.0,35.0,67.0,1.52
181,Mitch Keller,1.0,3.0,6.298,25.9,24.0,13.0,4.0,15.0,29.0,1.68
182,Joe Kelly,0.0,0.0,5.314,23.1,29.0,0.0,0.0,0.0,29.0,1.39
183,Merrill Kelly,1.0,1.0,4.431,56.6,59.0,29.0,10.0,20.0,50.0,1.3
184,Ian Kennedy,0.0,0.0,3.257,31.6,29.0,23.0,0.0,0.0,24.0,1.19
185,Clayton Kershaw,12.0,0.0,2.726,82.6,69.0,27.0,14.0,14.0,84.0,1.0
186,Dallas Keuchel,0.0,0.0,3.946,86.2,90.0,31.0,14.0,29.0,60.0,1.29
187,Yusei Kikuchi,0.0,0.0,4.459,59.8,58.0,32.0,11.0,22.0,55.0,1.23
188,Craig Kimbrel,0.0,0.0,4.501,23.3,25.0,2.0,0.0,2.0,47.0,1.35
189,Michael King,0.0,0.0,4.952,14.0,13.0,9.0,1.0,5.0,13.0,1.23
190,Tyler Kinley,0.0,0.0,5.325,19.2,24.0,24.0,0.0,22.0,24.0,1.49
191,Andrew Kittredge,0.0,0.0,3.052,23.3,21.0,18.0,0.0,0.0,21.0,1.23
192,Corey Kluber,0.0,1.0,3.658,48.2,46.0,19.0,8.0,18.0,52.0,1.35
193,Corey Knebel,0.0,0.0,3.844,12.1,15.0,0.0,0.0,0.0,16.0,1.09
